YYMMMDD __east(m) _north(m) ____up(m)
11NOV16 0.353705 0.558209 0.201767
11NOV18 0.352211 0.558096 0.214606
11NOV19 0.353320 0.556970 0.217361
11NOV20 0.352122 0.556418 0.210442
11NOV21 0.351959 0.556146 0.221191
11NOV22 0.354419 0.556211 0.224406
11NOV23 0.352896 0.558270 0.221362
11NOV24 0.353429 0.555510 0.222902
11NOV25 0.353940 0.559604 0.225991
11NOV26 0.354801 0.556158 0.220110
11NOV27 0.355520 0.556188 0.225017
11NOV28 0.354700 0.556951 0.227202
11NOV29 0.354086 0.558826 0.218981
11NOV30 0.355105 0.557722 0.219074
11DEC01 0.355309 0.557458 0.218356
11DEC02 0.354934 0.556479 0.217228
11DEC03 0.354163 0.557552 0.220951
11DEC04 0.354779 0.560234 0.226123
11DEC05 0.353505 0.557308 0.221006
11DEC06 0.351968 0.557675 0.215027
11DEC07 0.354315 0.556922 0.211816
11DEC08 0.355499 0.557452 0.216181
11DEC09 0.353812 0.558470 0.211288
11DEC10 0.354837 0.556774 0.216924
11DEC11 0.356182 0.556217 0.220626
11DEC12 0.358522 0.559543 0.228728
11DEC13 0.354841 0.559559 0.219932
11DEC14 0.355200 0.556856 0.218325
11DEC15 0.354655 0.557936 0.221654
11DEC16 0.356108 0.557280 0.221064
11DEC17 0.354123 0.556563 0.217824
11DEC18 0.354970 0.557811 0.219212
11DEC19 0.354932 0.557661 0.219806
11DEC20 0.354250 0.556902 0.216268
11DEC21 0.353712 0.557893 0.215631
11DEC22 0.353225 0.557865 0.215839
11DEC23 0.354122 0.557978 0.219235
11DEC24 0.356203 0.555778 0.218291
11DEC25 0.356561 0.560073 0.220700
11DEC26 0.354135 0.558928 0.216677
11DEC27 0.354583 0.558443 0.215757
11DEC28 0.354689 0.555643 0.219413
11DEC29 0.355101 0.556526 0.226111
11DEC30 0.354162 0.555912 0.220021
11DEC31 0.353260 0.556207 0.212937
12JAN01 0.353186 0.557059 0.216802
12JAN02 0.353928 0.557854 0.218078
12JAN03 0.353540 0.557107 0.217710
12JAN04 0.350542 0.556237 0.213875
12JAN05 0.352322 0.554903 0.211724
12JAN06 0.353482 0.556528 0.213409
12JAN07 0.355454 0.556600 0.218439
12JAN08 0.354949 0.555880 0.214950
12JAN09 0.353253 0.556227 0.211420
12JAN10 0.353077 0.557430 0.215620
12JAN11 0.354140 0.556711 0.220592
12JAN12 0.352893 0.557193 0.215443
12JAN13 0.353137 0.557833 0.212272
12JAN14 0.352484 0.556304 0.213779
12JAN15 0.353168 0.557001 0.222025
12JAN16 0.351560 0.555916 0.218324
12JAN17 0.352737 0.555186 0.215518
12JAN18 0.354623 0.556065 0.215727
12JAN19 0.355874 0.557241 0.219560
12JAN20 0.353345 0.556671 0.225315
12JAN21 0.352543 0.555559 0.216134
12JAN22 0.352913 0.558163 0.228609
12JAN23 0.354747 0.556770 0.224429
12JAN24 0.353475 0.556470 0.220181
12JAN25 0.352904 0.556481 0.222306
12JAN26 0.355317 0.556593 0.229845
12JAN27 0.352212 0.555701 0.220420
12JAN28 0.354793 0.559355 0.232407
12JAN29 0.352498 0.560964 0.226850
12JAN30 0.355712 0.560265 0.241950
12JAN31 0.351981 0.555344 0.224750
12FEB01 0.351827 0.554889 0.227649
12FEB02 0.353947 0.556971 0.233513
12FEB03 0.353967 0.558158 0.233460
12FEB04 0.352036 0.557418 0.226738
12FEB05 0.353151 0.555900 0.229062
12FEB06 0.354347 0.556402 0.221765
12FEB07 0.353663 0.557717 0.228537
12FEB08 0.354065 0.558213 0.228141
12FEB09 0.353540 0.554962 0.225408
12FEB10 0.352580 0.555611 0.224818
12FEB11 0.351556 0.555019 0.223542
12FEB12 0.349449 0.557136 0.224694
12FEB13 0.351852 0.555614 0.232581
12FEB14 0.353983 0.555399 0.231494
12FEB15 0.352913 0.555582 0.227639
12FEB16 0.352901 0.556442 0.226237
12FEB17 0.352310 0.557964 0.233488
12FEB18 0.353436 0.556823 0.225100
12FEB19 0.352692 0.553235 0.224131
12FEB20 0.353995 0.556905 0.225790
12FEB21 0.353514 0.556796 0.221502
12FEB22 0.353423 0.556844 0.223807
12FEB23 0.354454 0.557305 0.219942
12FEB24 0.352652 0.556165 0.222175
12FEB25 0.352836 0.556569 0.219276
12FEB26 0.352228 0.556272 0.218251
12FEB27 0.351996 0.555382 0.224358
12FEB28 0.355222 0.556369 0.220733
12FEB29 0.352307 0.555675 0.224681
12MAR01 0.353761 0.555157 0.225935
12MAR02 0.355618 0.555344 0.226358
12MAR03 0.354849 0.555496 0.220836
12MAR04 0.354561 0.554693 0.221589
12MAR05 0.353909 0.555841 0.220991
12MAR06 0.353181 0.555967 0.217937
12MAR07 0.353153 0.555488 0.229856
12MAR08 0.355600 0.555965 0.225583
12MAR09 0.354403 0.555951 0.222934
12MAR10 0.355603 0.557514 0.218189
12MAR11 0.353534 0.558369 0.221340
12MAR12 0.353369 0.554476 0.217653
12MAR13 0.354009 0.558202 0.216093
12MAR14 0.355359 0.556024 0.216781
12MAR15 0.354145 0.557069 0.218995
12MAR16 0.354446 0.556252 0.217272
12MAR17 0.354532 0.556664 0.223909
12MAR18 0.352380 0.556422 0.225393
12MAR19 0.355194 0.554756 0.219865
12MAR20 0.355605 0.557587 0.223025
12MAR21 0.354941 0.557111 0.219505
12MAR22 0.352568 0.558596 0.218469
12MAR23 0.355254 0.559949 0.224806
12MAR24 0.354764 0.558055 0.219908
12MAR25 0.354062 0.558009 0.215364
12MAR26 0.353666 0.556293 0.218771
12MAR27 0.352722 0.557851 0.221885
12MAR28 0.353034 0.559468 0.220136
12MAR29 0.353030 0.557861 0.225769
12MAR30 0.352302 0.556565 0.216141
12MAR31 0.354193 0.554281 0.223574
12APR01 0.351515 0.557469 0.215691
12APR02 0.351359 0.555270 0.222425
12APR03 0.353883 0.557729 0.223046
12APR04 0.353232 0.554485 0.221483
12APR05 0.353403 0.556601 0.226207
12APR06 0.355311 0.556876 0.217102
12APR07 0.350788 0.556325 0.224504
12APR08 0.352250 0.554441 0.227389
12APR09 0.353194 0.555265 0.220130
12APR10 0.352598 0.556255 0.222737
12APR11 0.354849 0.554954 0.224217
12APR12 0.352343 0.556910 0.219003
12APR13 0.352734 0.556310 0.223507
12APR14 0.352265 0.556327 0.221765
12APR15 0.352534 0.558108 0.224632
12APR16 0.352908 0.557758 0.221357
12APR17 0.354864 0.557155 0.217343
12APR18 0.352765 0.556463 0.221223
12APR19 0.351464 0.555313 0.218246
12APR21 0.352998 0.556199 0.220476
12APR22 0.354027 0.556960 0.220437
12APR23 0.353176 0.555475 0.224107
12APR24 0.351022 0.554158 0.219410
12APR25 0.354589 0.555384 0.225608
12APR26 0.353054 0.557366 0.220795
12APR27 0.349624 0.556035 0.205477
12APR28 0.353091 0.556417 0.219009
12APR29 0.353986 0.556630 0.223700
12APR30 0.353116 0.555695 0.220503
12MAY01 0.353259 0.558399 0.225534
12MAY02 0.353623 0.557393 0.219322
12MAY03 0.351595 0.555980 0.222059
12MAY04 0.352205 0.555230 0.224006
12MAY05 0.351871 0.553771 0.228336
12MAY06 0.351116 0.555012 0.215232
12MAY07 0.352471 0.560193 0.216727
12MAY08 0.352565 0.555970 0.220802
12MAY09 0.353849 0.556505 0.225497
12MAY10 0.354109 0.555404 0.226012
12MAY11 0.352746 0.554266 0.219491
12MAY12 0.352988 0.554156 0.225925
12MAY13 0.352814 0.555745 0.219769
12MAY14 0.352405 0.555448 0.221298
12MAY15 0.352578 0.556175 0.220259
12MAY16 0.352501 0.554543 0.216334
12MAY17 0.349188 0.557000 0.216182
